"Utility.Name","State"
"City of Gastonia","North Carolina"
"GreyStone Power Corporation","Georgia"
"City of Geneva- (IL)","Illinois"
"City of Georgetown","South Carolina"
"City of Georgetown","Texas"
"City of Gering","Nebraska"
"Gibson Electric Members Corp","Tennessee"
"City of Gillette","Wyoming"
"City of Girard","Kansas"
"Glacier Electric Coop, Inc","Montana"
"Glades Electric Coop, Inc","Florida"
"City of Gladstone","Michigan"
"City of Glasgow","Kentucky"
"Glencoe Light & Power Comm","Minnesota"
"City of Glendale","California"
"City of Glenwood Springs","Colorado"
"Raccoon Valley Electric Cooperative","Iowa"
"Golden Valley Elec Assn Inc","Alaska"
"City of Goodland","Kansas"
"City of Gothenburg","Nebraska"
"City of Graettinger","Iowa"
"Grady Electric Membership Corp","Georgia"
"Graham County Electric Coop Inc","Arizona"
"Goodhue County Coop Elec Assn","Minnesota"
"City of Grand Haven","Michigan"
"Grand Electric Coop, Inc","Montana"
"Grand Electric Coop, Inc","South Dakota"
"Grand Rapids Public Util Comm","Minnesota"
"PUD No 1 of Grays Harbor County","Washington"
"Grayson Rural Electric Coop Corp","Kentucky"
"Grayson-Collin Elec Coop, Inc","Texas"
"Greenbelt Electric Coop, Inc","Texas"
"Grand Valley Power","Colorado"
"City of Green Cove Springs","Florida"
"City of Greeneville","Tennessee"
"City of Greenfield","Iowa"
"City of Greenfield","Indiana"
"City of Greenville","Texas"
"Greenville Utilities Comm","North Carolina"
"Greenwood CPW","South Carolina"
"Greenwood Utilities Comm","Mississippi"
"Greer Commission of Public Wks","South Carolina"
"City of Griffin","Georgia"
"Groton Dept of Utilities","Connecticut"
"Grundy Electric Coop, Inc","Iowa"
"Grundy Electric Coop, Inc","Missouri"
"Grundy Center Mun Light & Power","Iowa"
"Guthrie County Rural E C A","Iowa"
"Guadalupe Valley Elec Coop Inc","Texas"
"Gulf Coast Electric Coop, Inc","Florida"
"Gunnison County Elec Assn.","Colorado"
"City of Gunnison","Colorado"
"Guntersville Electric Board","Alabama"
"Grundy County Rural Elec Coop","Iowa"
"H-D Electric Coop Inc","Minnesota"
"H-D Electric Coop Inc","South Dakota"
"Habersham Electric Membership Corp","Georgia"
"Guernsey-Muskingum El Coop Inc","Ohio"
"Hagerstown Light Department","Maryland"
"City of Halstad","Minnesota"
"City of Hamilton","Ohio"
"Halifax Electric Member Corp","North Carolina"
"Hamilton County Elec Coop Assn","Texas"
"NineStar Connect","Indiana"
"Hancock-Wood Electric Coop Inc","Ohio"
"City of Hannibal","Missouri"
"Town of Hardwick","Vermont"
"Harlan Municipal Utilities","Iowa"
"City of Harriman","Tennessee"
"Harrison County Rural E M C","Indiana"
"City of Harrisonburg","Virginia"
"City of Harrisonville","Missouri"
"Hart Electric Member Corp","Georgia"
"Hartford Electric","Wisconsin"
"City of Hartselle","Alabama"
"City of Hastings","Nebraska"
"Havana Power & Light Company","Florida"
"Harrison County Rrl Elec Coop","Iowa"
"City of Hawarden","Iowa"
"Hawkeye Tri-County El Coop Inc","Iowa"
"Hawley Public Utilities Comm","Minnesota"
"Heartland Power Coop","Iowa"
"Heartland Power Coop","Minnesota"
"Haywood Electric Member Corp","Georgia"
"Haywood Electric Member Corp","North Carolina"
"Haywood Electric Member Corp","South Carolina"
"City of Healdsburg","California"
"Heber Light & Power Company","Utah"
"City of Hebron","Nebraska"
"Hendricks County Rural E M C","Indiana"
"Henderson City Utility Comm","Kentucky"
"Henry County Rural E M C","Indiana"
"City of Hermiston","Oregon"
"Hibbing Public Utilities Comm","Minnesota"
"City of Hickman","Kentucky"
"High Plains Power Inc","Wyoming"
"Highline Electric Assn","Colorado"
"Highline Electric Assn","Nebraska"
"Town of High Point","North Carolina"
"City of Highland","Illinois"
"Jackson Electric Coop, Inc","Wisconsin"
"City of Hinton","Iowa"
"HILCO Electric Cooperative, Inc.","Texas"
"Hillsdale Board of Public Wks","Michigan"
"Hill County Electric Coop, Inc","Montana"
"Inland Power & Light Company","Idaho"
"Inland Power & Light Company","Washington"
"City of Holdrege","Nebraska"
"City of Holland","Michigan"
"City of Holly Springs","Mississippi"
